"Date","Site.Name","COUNTY","meanLat","meanLong","Month","Year","PM2.5","Ozone"
"2018-02-22","Millbrook School","Wake",35.856111,-78.574167,2,2018,34.5,20
"2018-02-22","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2,2018,28.5,NA
"2018-02-23","Clemmons Middle","Forsyth",36.026,-80.342,2,2018,58,NA
"2018-02-23","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2018,41,35
"2018-02-23","Leggett","Edgecombe",35.988278,-77.5843,2,2018,28,NA
"2018-02-23","Millbrook School","Wake",35.856111,-78.574167,2,2018,48,19
"2018-02-23","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2,2018,32,NA
"2018-02-24","Clemmons Middle","Forsyth",36.026,-80.342,2,2018,52,NA
"2018-02-24","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2018,48,32
"2018-02-24","Leggett","Edgecombe",35.988278,-77.5843,2,2018,28,NA
"2018-02-24","Millbrook School","Wake",35.856111,-78.574167,2,2018,38,29
"2018-02-24","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2,2018,23,NA
"2018-02-25","Clemmons Middle","Forsyth",36.026,-80.342,2,2018,38,NA
"2018-02-25","Frying Pan Mountain","Haywood",35.379167,-82.7925,2,2018,10,NA
"2018-02-25","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2018,27.5,26
"2018-02-25","Leggett","Edgecombe",35.988278,-77.5843,2,2018,18,NA
"2018-02-25","Linville Falls","Avery",35.972347,-81.933072,2,2018,17,NA
"2018-02-25","Millbrook School","Wake",35.856111,-78.574167,2,2018,30.5,31
"2018-02-25","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2,2018,15,NA
"2018-02-26","Clemmons Middle","Forsyth",36.026,-80.342,2,2018,19,NA
"2018-02-26","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2018,16,NA
"2018-02-26","Leggett","Edgecombe",35.988278,-77.5843,2,2018,17,NA
"2018-02-26","Millbrook School","Wake",35.856111,-78.574167,2,2018,22,30
"2018-02-26","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2,2018,15,NA
"2018-02-27","Clemmons Middle","Forsyth",36.026,-80.342,2,2018,32,NA
